Unnamed: 0,Unnamed: 1,Alliance,Systems,Members,Corps,Unnamed: 6,Unnamed: 7,Unnamed: 8
446.0,,Strictly Unprofessional,0.0,174.0,8.0,,,
447.0,,White Sky.,0.0,174.0,12.0,,,
448.0,,Divinity.,0.0,173.0,9.0,,,
449.0,,Monkeys with Guns.,0.0,173.0,2.0,,,
450.0,,O.P.A,0.0,173.0,7.0,,,
451.0,,Stain Empire,0.0,173.0,5.0,,,
452.0,,The CodeX Alliance,0.0,173.0,6.0,,,
453.0,,B.E.A.R.S.,0.0,172.0,3.0,,,
454.0,,Crusaders of Space,0.0,172.0,11.0,,,
455.0,,Complex Solutions for Simple People,0.0,170.0,7.0,,,
